ticker,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BCMXY,2021-04-27T00:00:00Z,16.095,16.095,16.095,16.095,100,16.095,16.095,16.095,16.095,100,0,1
BCO,2021-04-27T00:00:00Z,76.91,77.68,76.53,76.53,196654,76.91,77.68,76.53,76.53,196654,0,1
BCOMF,2021-04-27T00:00:00Z,1.9,1.93,1.9,1.93,556,1.9,1.93,1.9,1.93,556,0,1
BCOR,2021-04-27T00:00:00Z,14.46,14.63,14.21,14.3,678339,14.46,14.63,14.21,14.3,678339,0,1
BCOV,2021-04-27T00:00:00Z,19.48,19.86,19.32,19.86,232757,19.48,19.86,19.32,19.86,232757,0,1
BCOW,2021-04-27T00:00:00Z,14.4862,14.4862,14.4862,14.4862,57,14.4862,14.4862,14.4862,14.4862,57,0,1
BCPC,2021-04-27T00:00:00Z,124.01,124.21,122.57,124.21,88596,124.01,124.21,122.57,124.21,88596,0,1
BCRHF,2021-04-27T00:00:00Z,0.37,0.39,0.35,0.35,1875,0.37,0.39,0.35,0.35,1875,0,1
BCRX,2021-04-27T00:00:00Z,12.3,12.75,12.201,12.47,2336368,12.3,12.75,12.201,12.47,2336368,0,1
BCS,2021-04-27T00:00:00Z,10.56,10.56,10.31,10.33,15133116,10.56,10.56,10.31,10.33,15133116,0,1
BCSF,2021-04-27T00:00:00Z,15.86,15.93,15.73,15.73,114233,15.86,15.93,15.73,15.73,114233,0,1
BCTF,2021-04-27T00:00:00Z,12.3,12.3,12.3,12.3,534,12.3,12.3,12.3,12.3,534,0,1
BCTG,2021-04-27T00:00:00Z,11.34,11.4,11.04,11.3,165867,11.34,11.4,11.04,11.3,165867,0,1
BCTX,2021-04-27T00:00:00Z,3.53,3.67,3.4,3.5675,493967,3.53,3.67,3.4,3.5675,493967,0,1
BCV,2021-04-27T00:00:00Z,31.32,31.75,31.13,31.75,15542,31.32,31.75,31.13,31.75,15542,0,1
BCX,2021-04-27T00:00:00Z,9.3,9.3078,9.235,9.3,297789,9.3,9.3078,9.235,9.3,297789,0,1
BCYC,2021-04-27T00:00:00Z,30.47,31.8157,30.23,31.4,63387,30.47,31.8157,30.23,31.4,63387,0,1
BCYP,2021-04-27T00:00:00Z,9.9,9.94,9.9,9.94,583,9.9,9.94,9.9,9.94,583,0,1
BCYPU,2021-04-27T00:00:00Z,10.2113,10.2113,10.2113,10.2113,19,10.2113,10.2113,10.2113,10.2113,19,0,1
BDC,2021-04-27T00:00:00Z,44.66,44.67,44.17,44.44,236905,44.66,44.67,44.17,44.44,236905,0,1
BDCM,2021-04-27T00:00:00Z,0.4399,0.4399,0.355,0.39,5354,0.4399,0.4399,0.355,0.39,5354,0,1
BDCX,2021-04-27T00:00:00Z,37.9845,37.9845,37.77,37.77,295,37.9845,37.9845,37.77,37.77,295,0,1
BDCZ,2021-04-27T00:00:00Z,19.2451,19.27,18.5101,19.1,30366,19.2451,19.27,18.5101,19.1,30366,0,1
BDEC,2021-04-27T00:00:00Z,32.5868,32.5868,32.49,32.53,1569,32.5868,32.5868,32.49,32.53,1569,0,1
BDGR,2021-04-27T00:00:00Z,0.001,0.001,9e-4,9e-4,131786585,0.001,0.001,9e-4,9e-4,131786585,0,1
BDGY,2021-04-27T00:00:00Z,0.0837,0.0837,0.0837,0.0837,5063,0.0837,0.0837,0.0837,0.0837,5063,0,1
BDIC,2021-04-27T00:00:00Z,0.39,0.4,0.33,0.345,37394,0.39,0.4,0.33,0.345,37394,0,1
BDJ,2021-04-27T00:00:00Z,9.86,9.87,9.82,9.85,346447,9.86,9.87,9.82,9.85,346447,0,1
BDL,2021-04-27T00:00:00Z,24.9024,25.2399,24.9024,25.2399,666,24.9024,25.2399,24.9024,25.2399,666,0,1
BDN,2021-04-27T00:00:00Z,13.45,13.46,13.29,13.46,1208967,13.45,13.46,13.29,13.46,1208967,0,1
BDORY,2021-04-27T00:00:00Z,5.43,5.5,5.4,5.445,168304,5.43,5.5,5.4,5.445,168304,0,1
BDOUY,2021-04-27T00:00:00Z,21.24,22.19,21.24,22.11,712,21.24,22.19,21.24,22.11,712,0,1
BDPT,2021-04-27T00:00:00Z,0.0275,0.0339,0.027,0.0339,156806,0.0275,0.0339,0.027,0.0339,156806,0,1
BDR,2021-04-27T00:00:00Z,1.11,1.12,1.09,1.09,116670,1.11,1.12,1.09,1.09,116670,0,1
BDRAF,2021-04-27T00:00:00Z,0.907124,0.922,0.899,0.90682,24148,0.907124,0.922,0.899,0.90682,24148,0,1
BDRBF,2021-04-27T00:00:00Z,0.7507,0.77,0.722,0.722,1466186,0.7507,0.77,0.722,0.722,1466186,0,1
BDRFY,2021-04-27T00:00:00Z,22.3,22.32,22.1,22.205,185246,22.3,22.32,22.1,22.205,185246,0,1
BDRY,2021-04-27T00:00:00Z,22.98,23,22.3364,22.4,560958,22.98,23,22.3364,22.4,560958,0,1
BDSI,2021-04-27T00:00:00Z,3.49,3.575,3.47,3.57,674266,3.49,3.575,3.47,3.57,674266,0,1
BDSX,2021-04-27T00:00:00Z,16.61,17.5,16.44,17.41,122254,16.61,17.5,16.44,17.41,122254,0,1
